uuid	text	llm_text
478f0ed6-eea7-403d-96b8-09ffa316dbff	我要唱林童学的爱人寻味	我要唱林俊杰的爱人寻味
b1a42c5b-eb71-4ada-baea-1935ed49b6bb	我想听傅鑫瑶的小缺上	我想听傅鑫瑶的小雀上
70360ad7-96fb-4abf-b48d-df2fe845aede	天猫精灵我想听奥特曼的声音器	天猫精灵我想听奥特曼的主题曲
7a4b658c-80f2-4f7a-b657-196ef01fdf5e	天猫精灵播放一下狼哥的苹果香	天猫精灵播放一下老狼的苹果香
755d8070-99cb-4d06-8768-2b4bc2feb546	天猫精灵加一百加十百加一百加十百等于几	天猫精灵加一百加一百加一百加一百等于几
a13c779e-696f-4441-aed5-5593f31497cb	我想看百浪圣郎给女儿	我想看白狼圣郎给女儿
0dd922f0-dd26-4bde-88ce-94f92dd5d3a0	从前有座山山里有个妙妙的名字叫你真妙妙里有把剑	从前有座山山里有个庙庙的名字叫你真庙庙里有把剑
fd4446c3-a894-4d76-9445-2a6c0d32c465	天猫精灵播放一首小灿的有人	天猫精灵播放一首小灿的友人
f249669e-1a36-4e9c-9b98-4ae14ff8bbe5	帮我查找下背机训练课程	帮我查找下背肌训练课程
59d97e04-466e-454d-9807-56588f684136	我要练罗马尼亚硬能	我要练罗马尼亚硬拉
ece4fd27-1b44-4732-b9c1-82f4f06443d3	天猫精灵四十八点五除以二点三幺零四等于	天猫精灵四十八点五除以二点三一零四等于
d7c4d9fb-6c69-496f-808a-76bd991eef02	播放王牌特攻	播放王牌特工
8f97923d-de60-43e3-bf20-b3dc7415355b	天猫精灵今天张口的天气怎么样	天猫精灵今天樟树的天气怎么样
cb59c122-908c-4f5f-80e3-98ea306754a3	推荐肩部蛙跳机的练习	推荐肩部划船机的练习
05d7c5dd-b6bd-41a4-9922-863b07766962	天猫精灵来份杂粮豆炒蛋白菜吧	天猫精灵来份杂粮豆炒小白菜吧
dbef83f5-a9f8-4b8f-b83a-c73a1f56abea	我想听小蓝背心的烹然心动	我想听小蓝背心的怦然心动
08f8d1e8-d6e0-4962-bc84-4aa1c537e6ba	我想听河图的曾春草木生	我想听河图的参商草木生
3dbcd038-3128-4a3c-b7fd-718429782749	我想听我们最终逃不过现实的佑龙	我想听我们最终逃不过现实的右龙
fe49a24d-9c87-47e7-bff5-891b0c7fffee	我要唱是二志呀的一封时光	我要唱是二志呀的一封家书
478ffa16-0096-47a8-bca0-2ca61613f1b7	天猫精灵莴苣丝小炒来一份	天猫精灵莴笋丝小炒来一份
5c8ec23c-ac06-44cc-8293-1974876dc203	播放苏志蟹赵恩姐结婚	播放苏志燮赵恩静结婚
0ba41546-28af-4732-8bee-cdd044701601	入门颈部屈线器怎么用	入门颈部曲线器怎么用
3b28d3b3-23ea-43a3-8682-1d386e3de3e8	天猫精灵就是钟国旗那个唱给妈妈的歌	天猫精灵就是钟国仪那个唱给妈妈的歌
2b6a7bf9-704d-41f3-bf36-30f6efc1722b	天猫精灵你的颈部里有那个小调吗	天猫精灵你的记忆里有那个小调吗
adadb5ea-c0f2-45e5-b89e-6318cd46dd74	我想看帝哥历险记	我想看迪哥历险记
569d5d51-af66-48f0-93be-b71602a961d6	我要唱许晰基的地上霜	我要唱许志杰的地上霜
97527fbe-2ed2-42a3-a50d-14881f5f08ea	天猫精灵我我喝水呢我不能跟你说话要万一炝了咋办	天猫精灵我我喝水呢我不能跟你说话要万一呛了咋办
