uuid	text	llm_text
0c91107f-a01e-42d0-aa8c-ed3f70ee60fd	我要唱张杰的看了看	我要唱张杰的看月亮
eb59a9f4-604d-4823-b083-9e2b4feac4a9	天猫精灵来碗肉沫豆腐盖浇饭吧	天猫精灵来碗肉末豆腐盖浇饭吧
6c2beb9d-d51e-48e6-9255-ec30631652a0	天猫精灵张六毅是不是大坏蛋	天猫精灵张六一是不是大坏蛋
1ac40890-e0e1-4a16-8e2a-dbbbc0ca957e	天猫精灵请给我放一首一个傻子	天猫精灵请给我放一首一个沙子
a945e1ad-55c6-4295-a869-e222aef03b89	天猫精灵给我来一首亚麻子歌曲	天猫精灵给我来一首野马子歌曲
eb3a922f-87e0-4141-ab98-1563526df1b6	我要唱刘饼的我喜欢你与你无关	我要唱刘彬的我喜欢你与你无关
f2e9e4a7-8181-4131-aeeb-7bb166adc2d6	天猫精灵我们不能在这个世界我们是死人	天猫精灵我们不能在这个世界我们是诗人
7e36324b-ddf1-4c09-b7d2-dcf5adbee7ad	我想听雷佳的春晚水中舟	我想听雷佳的春晚水中洲
19c03cee-b36b-4dc2-b1fa-f7e390eb0cb9	天猫精灵播放张真源的出鸳	天猫精灵播放张真源的出圈
f9edbc76-c82a-4f87-9f4c-496fed247081	天猫精灵北方晨星项目管理有限公司	天猫精灵北方辰星项目管理有限公司
a5e1c808-6253-478b-8a4e-dcff96523c8b	我要唱陈玉珍等我来娶你的死在人海	我要唱陈玉建等我来娶你的死在仁海
bb51a15e-1ca2-4b1f-bbfb-ae9d94643f82	天猫精灵把情伤故事给我删除	天猫精灵把情歌故事给我删除
f3d319fc-2ec5-45a5-ab1d-867140812188	天猫精灵来碗养胃的小米粥养碗枸杞	天猫精灵来碗养胃的小米粥放碗枸杞
2952b118-3d7e-44c0-b5f3-8801b5ffbe6a	天猫精灵来份外婆家的纳碎小炒吧	天猫精灵来份外婆家的腊碎小炒吧
84031a4b-0ee7-444a-b2fe-af7f68cdc40d	播放宫保下球的菜谱	播放宫保虾球的菜谱
677bb6d1-26d7-4c1f-92bc-fe1a573ba2de	天猫精灵一只砖头掉下了山山里冒出熊熊火炎这是为什么呢	天猫精灵一只砖头掉下了山山里冒出熊熊火焰这是为什么呢
c18b42cb-0683-42bd-9121-994bc4409ca5	我要唱孟旭东的偏偏那少年	我要唱梦然东的偏偏那少年
63a5e3f7-4ff6-4649-96e3-459f3b35af37	天猫精灵梅西现在还在拉你国际吗	天猫精灵梅西现在还在巴黎国际吗
6ab820bc-da6f-4617-bd98-da6d1bf0e8bf	天猫精灵放一首乌兰巴特的夜	天猫精灵放一首乌兰巴托的夜
2e82343e-e47b-41d2-b2f9-43f66cd8f54b	天猫精灵播放马思维和朴宰范的歌	天猫精灵播放马思唯和朴宰范的歌
0abb42e2-268c-4ab6-a67a-c4371f80eee8	天猫精灵播放一首美依利芽的歌	天猫精灵播放一首美依礼芽的歌
81b5e8de-0505-47a0-900c-726f596816cc	天猫精灵播放小猫呲叫的声音	天猫精灵播放小猫嘶叫的声音
1ac40683-68f4-4efb-b86e-0665afbbed14	天猫精灵两个朱葛亮顶不过一个朱葛亮	天猫精灵两个诸葛亮顶不过一个诸葛亮
f0b18183-afe8-47b6-b55b-bf3e54ab2165	我想听小葱的几月几号	我想听小春的几月几号
ed9f3139-79f3-41b8-909b-f91869b97dbf	天猫精灵赛车砂车失灵的声音	天猫精灵赛车刹车失灵的声音
bdca8db8-deb6-435d-8537-a67606399203	天猫精灵给我唱九九那个月夜谭	天猫精灵给我唱九九那个月夜谈
a1e305d3-54b7-460a-8d1b-d20bde6138ba	天猫精灵念念不换妞念要不要打屁屁	天猫精灵念念不忘妞念要不要打屁屁
30912090-cf42-447e-9194-d1732fbfbff3	天猫精灵播放敲罗打鼓的声音	天猫精灵播放敲锣打鼓的声音
f38e41fa-bc2a-4e3c-b969-3ae45fc1b552	他没有在玩手机也不有在看电视哟	他没有在玩手机也没有在看电视哟
cfa380e0-4e5d-4252-8599-d0d8a4ae082e	我想看醉案现场实录第四集	我想看罪案现场实录第四集
c1244676-c575-424f-8f17-db9b61399e23	播放爆笑星陀	播放爆笑星球
cca2dc7b-f37a-4a8b-8612-dd763153514a	我想听周深的歌且行且开心	我想听周深的歌且行且珍惜
a9659e79-87ca-4411-acf8-9933c204183f	天猫精灵请播放丁蛋蛋与荷包蛋第一集	天猫精灵请播放叮当当与荷包蛋第一集
54975930-d3a9-41c4-b4b4-00dd74511a35	你在这里等我一下我去扫个便	你在这里等我一下我去上个便
43e1be08-4400-4e2b-820d-c74924a7cdb5	天猫精灵打开卧打开客厅窗帘	天猫精灵打开我打开客厅窗帘
bb3cba0a-125c-44df-a6d8-f08e1fc1f577	天猫精灵重庆的白公馆监议了解一下	天猫精灵重庆的白公馆监狱了解一下
ee546712-f2d8-4df8-81e1-575758f866d9	黑椒牛肚芋要怎么调味	黑椒牛柳芋要怎么调味
db976cbf-4419-4d4e-931e-02d60b13d5ef	天猫精灵播放六静的光不需要太亮	天猫精灵播放陆垚的光不需要太亮
