uuid	pred_text	text	cer
3fb65042-30a4-4248-9b15-16b99dc8b944	天猫精灵不入豪门假总裁假戏真做	天猫精灵播放豪门假总裁假戏真做	0.1333
3fb674fe-acce-4c3e-bcde-3e5639fab2d0	天猫精灵霏贝群叫是什么声音	天猫精灵狒狒群叫是什么声音	0.1538
3fb9ad4a-6d84-4aec-9c51-b32403493a1a	天猫精灵我想听放狗屁的声音	声音天猫精灵我想听放狗屁的声音	0.1333
3fb9d971-cda1-4bd9-b980-b27fa904066b	天猫精灵来碗红枣红豆养生粥吧	天猫精灵来碗红枣红豆养胃粥吧	0.0714
3fbce181-960f-436a-8fe3-ec8f00eb0867	天猫精灵来份青菜小炒粉吧	天猫精灵要个鸡蛋青菜小炒粉吧	0.2857
3fc66bef-f1db-4d3c-96ce-97e9365cd0ff	天猫精灵来份小鸡蘑菇炖粉汤吧	天猫精灵来份小鸡蘑菇炖粉条吧	0.0714
3fd15084-72a3-4620-b381-17fa9adedc99	天猫精灵总裁七月新娘别来无忧	天猫精灵总裁契约新娘别来无恙	0.2143
3fdaa3cc-8445-4501-b122-13285e8e7c1b	天猫精灵来碗豆腐米饭吧	天猫精灵来碗珍珠米饭吧	0.1818
3fdac8cb-fe4b-47a9-a621-335c195993cd	天猫精灵音量调到十五	天猫精灵音量调到十五不知道	0.2308
3fdb79dd-76d2-4bba-8c64-6df6784b7eab	我要唱一个小孩子的只有你想见我的时候	我要唱一个小孩的只有你想见我的时候	0.0588
3fe506b7-6b24-4ee0-89f8-1407da62a46d	天猫精灵来一碗窝蛋牛肉养生粥	天猫精灵来碗窝蛋牛肉养身粥	0.1538
3fef765c-5a8a-4f7e-9346-8fc2c2ade816	天猫精灵要碗桂圆银耳养身粥	天猫精灵要碗桂圆银耳养生粥	0.0769
3ff49612-b731-4224-a581-f6345bb2d537	那个什么那个天猫精灵放通天大盗这首歌	天猫精灵放通天大道这首歌那个什么那个	0.7222
3ff4bdcb-049e-46c0-8072-ec07d3aa41e8	我想听周深唱的青春就这样	我想听周深唱的青春就这YOUNG	0.3125
3ffb0df9-ac20-4b7a-9105-9096fdb27d1b	天猫精灵你再刚重复一遍刚才的话	天猫精灵你再跟重复一遍刚才的话	0.0667
40035627-0881-4da0-aa3c-5bcdf53dc407	播放短信后的胡千旭	播放性转后的胡先煦	0.4444
400c6570-1e85-4f44-b44d-7a7ad1a4f4c0	有急性期的孢枕病毒感染适合什么样的运动	有急性期的疱疹病毒感染适合什么样的运动	0.1053
400cdc95-31bd-44e8-b0b9-bee730c86b3a	天猫精灵播放动漫仙武传的钢尾曲	天猫精灵播放动漫仙武传的钢琴曲	0.0667
400dd970-af35-4bdc-86a4-d89c647db7b7	天猫精灵带有系统的小说有哪些	天猫精灵那有系统的小说有哪些	0.0714
400ebf2e-9f4d-467d-9f2f-4262ae9cc2b2	天猫精灵一万四千五乘以百分之二十等于多少	天猫精灵一万四千五乘百分之二十等于多少	0.0526
400f845c-adef-4117-822b-ad71e35b7d1c	天猫精灵声声音调小一点播放儿歌	天猫精灵声音调小一点播放儿歌	0.0714
4010fd48-541a-4d80-bb2d-d384761f9c14	天猫精灵下一个下午上一个下午四点的闹钟	天猫精灵下一个下放一个下午四点的闹钟	0.1111
4017ac40-466b-4cba-a658-fe78443ece38	天猫精灵要碗暖胃的小米粥	天猫精灵要碗养胃的小米粥	0.0833
4021fc38-2b1c-4fc1-b8ac-cee01f4dc0ec	天猫精灵天猫精灵来个来个数鸭子循环播放	天猫精灵天猫精灵来个数鸭子循环播放来个	0.2105
4024d402-b79e-4ef3-b5b8-ea8abbf2f1e8	来碗皮蛋瘦肉热粥	要碗皮蛋瘦肉热粥	0.125
40284b6b-0bcf-40ad-8da7-980befa632ae	天猫精灵来碗养胃的小米南瓜瓜粥吧	天猫精灵来碗养胃的小米南瓜粥吧	0.0667
402fbbc0-436b-4258-a041-1dba5c1684a5	我想听周深的歌少美满	我想听周深的歌小美满	0.1
