uuid	raw_text	dom	text	class	Query_faiss	nlp_recommend
38b8fafe-19f0-4003-ab7f-642f5a78a1dd	天猫精灵少油少盐的就行	1	少油少盐	0	['时令菌菇面', '家烧高山黄花菜', '鲜蔬煎鸡饭', '蘸水苦菜汤', '吴弟山野菜汤']	家烧高山黄花菜
1ecfbbb8-34c6-423e-b76b-5ff4719204f8	天猫精灵来点软和的	1	软和的	0	['忘不掉的豆腐汤', '清晨的白粥', '翠绿翠绿的小白菜', '大家爱吃的白粥', '女汉子的白米饭']	清晨的白粥
ed1fd9a6-9ea7-44ce-9866-40b38e4459d1	天猫精灵要少油少盐的	1	少油少盐	0	['时令菌菇面', '家烧高山黄花菜', '鲜蔬煎鸡饭', '蘸水苦菜汤', '吴弟山野菜汤']	家烧高山黄花菜
3f289b65-f6bd-466e-8b55-0e069d6b7184	适合老年人的菜	1	适合老年人的	0	['很正常的白米饭', '一碗常被爸妈叮嘱的白米饭', '大家爱吃的白粥', '女汉子的白米饭', '朴素的蛋炒饭']	一碗常被爸妈叮嘱的白米饭
70634922-032a-4c51-89d9-f2aa5e901ac0	有软乎点的菜吗	1	软乎点的	0	['清晨的白粥', '大家爱吃的白粥', '女汉子的白米饭', '不放葱的蛋炒饭', '朴素的蛋炒饭']	"清晨的白粥
大家爱吃的白粥"
d4890528-23e1-4c9b-9cf3-33f460dd935a	好嚼的就行	1	好嚼的	0	['很正常的白米饭', '好嫂子大拌菜', '大家爱吃的白粥', '一碗常被爸妈叮嘱的白米饭', '女汉子的白米饭']	一碗常被爸妈叮嘱的白米饭
949ed5fb-d5a2-4282-9884-00e755c3df5a	天猫精灵要个不油腻的	1	不油腻	0	['好吃白米饭', '优质白米饭', '本地山羊纯羊肉汤', '生态白米饭', '乡野清新蘸酱菜']	乡野清新蘸酱菜
ab8ed9d0-476a-45ff-8523-8873ee850dc4	天猫精灵来点不油腻的	1	不油腻	0	['好吃白米饭', '优质白米饭', '本地山羊纯羊肉汤', '生态白米饭', '乡野清新蘸酱菜']	乡野清新蘸酱菜
c0642eb2-e6db-4b14-b15e-ecb3cb091123	天猫精灵不要油腻的	1	不要油腻	0	['好吃白米饭', '健康蘸酱菜', '优质白米饭', '清香白米饭', '陕南浆水面']	健康蘸酱菜
0886a8c8-25fb-43a9-aaa9-ea7457abba5e	天猫精灵有没有不油腻的	1	不油腻	0	['好吃白米饭', '优质白米饭', '本地山羊纯羊肉汤', '生态白米饭', '乡野清新蘸酱菜']	乡野清新蘸酱菜
