uuid	pred_text	text	cer
d3e885e1-dcc3-4c6c-bebb-f152effd4843	天猫精灵播放宝林叔叔讲西游记三打白骨精	天猫精灵播放保林叔叔讲西游记三打白骨精	0.0526
d771469c-ef27-4fbc-a811-c93c1a1b8112	天猫精灵电玩番茄蛋花汤	天猫精灵点碗番茄蛋花汤	0.1818
d12ae249-debb-41f9-94dc-1ec520cf3b2e	天猫精灵要个莴笋丝炒嫩韭菜吧	天猫精灵要个莴笋丝炒嫩韭菜吧	0.0
dea25376-638f-4435-9ca3-646d3cb3f01d	我想看第一次汉服走秀	我想看第一次汉服走秀	0.0
cf672006-ec53-4507-886f-dd24f78f6607	请播放雅尼特跨步的教学视频	请播放哑铃侧跨步的教学视频	0.2308
ce050d49-cf4f-410c-8b1c-b46e783c5d9d	天猫精灵一点二八除以十六等于多少	天猫精灵一点二八除以十六等于多少	0.0
cdf0acd3-535d-493c-ac7c-25c134461dc0	说今年把那个声音换成真声的	天猫精灵把闹钟的声音换成周深的	0.6
d8803a3d-ed14-4c99-9b7b-bdbef064f908	天猫精灵要个家常紫菜蛋花汤	天猫精灵要个家常紫菜蛋花汤	0.0
d06668cb-1f3f-4fde-aa1c-2beef9602b70	天猫精灵三点三九二四加上二十六	天猫精灵三点三九二四加上二十六	0.0
d7d642cb-759f-49b3-88d0-cb15fc3f9d40	天猫精灵播放歌手梵希雅的沙漠玫瑰	天猫精灵播放歌手凡希亚的沙漠玫瑰	0.125
d7ca0514-50d7-4731-a315-fa0a6589ecc2	天猫精灵来碗老鸭鲜菇汤吧	天猫精灵来碗老鸭香菇汤吧	0.0833
dd3212a2-1446-433e-b7f6-d16c1deda1f7	天猫精灵为什么鱼身上会长鳞片	天猫精灵为什么鱼身上会长鳞片	0.0
db9d5727-1598-45be-b4a0-de89ab06cc95	天猫精灵要一份绿油油的嫩白菜吧	天猫精灵要一份绿油油的嫩白菜吧	0.0
c2a0f001-afa4-4135-99ab-89e48397bdbc	小猫精灵放一首安静的音乐	天猫精灵放一首安静的音乐	0.0833
caf3ae3b-9f44-44d5-bbd2-4495f62d6aee	天猫精灵来碗玉米南瓜甜粥吧	天猫精灵来碗玉米南瓜甜粥吧	0.0
d1df732f-3be7-4f29-a679-70e0bd7bdcbe	来碗海带炖老鸭汤	来碗海带炖老鸭汤	0.0
cf79d603-e623-47cf-aa2f-4467a69ac2c6	天猫精灵要份暖心暖胃的皮蛋瘦肉粥吧	天猫精灵要份暖心暖胃的皮蛋瘦肉粥吧	0.0
d89ae838-03c4-4a6f-a9de-b7ab3c969ff3	天猫精灵来份儿萝卜炖排骨汤吧	天猫精灵来份萝卜炖排骨汤吧	0.0769
d0311769-d94b-4b39-8cda-03480458b980	天猫精灵来点好酒的菜	天猫精灵来点好嚼的菜	0.1
c29dd22f-fcbd-4829-a3b2-5337f003b1ec	马金玲你是不是傻啊你都惹我生气了	天猫精灵你是不是傻你都惹我生气了	0.3125
df4e0f2a-bcda-4c43-bbf1-139773e053ef	播放逗趣小神仙	播放斗气小神仙	0.2857
cb7600ea-4563-4e52-941b-23368eb3f209	天猫精灵来份茄子肉末盖浇饭吧	天猫精灵来份茄子肉末盖浇饭吧	0.0
c5e8d909-a480-4472-aa0b-86369c2c1a4f	天猫精灵来碗饭家的火锅调面吧汤都点一点哦面条汤汁呢和人多拔两颗谢谢侬	天猫精灵来份番茄蛋虾干挑面伐汤头嗲一点哦面要挑得硬扎点虾仁多摆两颗谢谢侬	0.5278
dee3030a-33d5-4b83-9d9c-c37f043ce403	天猫精灵来碗蒜香面疙瘩汤热乎的	天猫精灵来碗酸香面疙瘩汤热乎的	0.0667
cd92172d-79b3-498d-8e44-c9c1ed02fd2f	天猫精灵一百零四除以四等于多少	天猫精灵一百零四除以四等于多少	0.0
c622b1e5-1789-4422-87b1-f0c541c56ce6	臀部推举架入门级练习	臀部推举架入门级练习	0.0
ca6c050d-54dc-455c-aefd-69efe39389a6	天猫精灵要个白菜粉条炖坛肉吧	天猫精灵要个白菜粉条炖坛肉吧	0.0
cfb2bacb-8b78-4b95-9855-3cb072027a1c	肚子天猫精灵小肚子乖乖把门开开	天猫精灵小兔子乖乖把门开开	0.2308
d759b390-9585-4152-b92f-f24ed41d9de6	天猫精灵我要听未定事件部印象同人曲	天猫精灵我要听未定事件簿印象同人曲	0.0588
d37af5da-411c-4122-af74-cd11db3c0a36	还能要一份红糖小米山药牛尾枣今早想吃了牛尾的没有特点哦	阿拉要一份红糖小米山药暖胃粥哦今朝想吃得暖胃点伐要太甜哦	0.5357
c0c32d6c-6e9d-47b1-ba1f-e83682605224	天猫精灵来一份儿蒜香西兰花儿吧	天猫精灵来份蒜香西兰花吧	0.25
c5e3fbab-134b-4bbf-9e06-549c51ebd952	天猫精灵来碗鲜奶杂粮甜粥	天猫精灵来碗鲜奶杂粮甜粥	0.0
dc42db97-b7d6-4c43-b868-258ee7dc33e3	蘑菇鸡肉通心粉什么酱料好	蘑菇鸡肉通心粉配什么酱料好	0.0769
dc965bf0-239d-45d5-9df8-fd192fd93251	姐我是你不分我们大家住的好	天猫精灵播放我们大家做得好	0.6154
c83554d0-bf98-44cb-8bc4-364bce937afd	电话机里有个红萝卜肉丝小炒吧	天猫精灵要个红萝卜肉丝小炒吧	0.3571
caee3de3-1fb2-4e78-8372-b803aad337a1	喂天猫精灵你在哪播放汪汪队	播放汪汪队天猫精灵你咋啦啊	0.9231
bfa91e60-7793-4108-8907-0e572a1c69c3	天猫精灵三万三千六百减去一万七千一百三十三等于多少	天猫精灵三万三千六百减去一万七千一百三十三等于多少	0.0
dea31682-f1a8-42d2-95ae-05b402c2802f	鱼柳菠菜沙拉可以微波炉做吗	鱼柳菠菜沙拉可以微波炉做吗	0.0
d5a6ec62-0653-48b3-b791-dfb1158fc29a	你好来碗碧螺母和小炒清爽点的不要梦游哦	侬好来一份碧绿木耳小炒清爽点个伐要忒油哦	0.5
c0b61b31-8962-44be-a5de-70b6e9d831c4	天猫精灵来份蒜香嫩油麦吧	天猫精灵来份蒜香嫩油麦吧	0.0
cc30bf53-bab8-44d6-8abe-f400d75a84ff	天猫精灵来碗甜丝丝的南瓜粥吧	天猫精灵来碗甜丝丝的南瓜粥吧	0.0
